cidade,data,temperatura,descricao,nuvens,dados_climaticos_id
São Luís,2024-06-02 12:00:00,27,chuva moderada,11,3388368
São Luís,2024-06-02 15:00:00,29,chuva leve,6,3388368
São Luís,2024-06-02 18:00:00,30,chuva leve,17,3388368
São Luís,2024-06-02 21:00:00,27,chuva leve,32,3388368
São Luís,2024-06-03 00:00:00,26,chuva leve,46,3388368
São Luís,2024-06-03 03:00:00,27,chuva leve,83,3388368
São Luís,2024-06-03 06:00:00,26,chuva leve,88,3388368
São Luís,2024-06-03 09:00:00,26,chuva moderada,79,3388368
São Luís,2024-06-03 12:00:00,27,chuva leve,78,3388368
São Luís,2024-06-03 15:00:00,29,chuva leve,87,3388368
São Luís,2024-06-03 18:00:00,28,chuva leve,87,3388368
São Luís,2024-06-03 21:00:00,26,chuva leve,90,3388368
São Luís,2024-06-04 00:00:00,26,chuva leve,94,3388368
São Luís,2024-06-04 03:00:00,25,chuva leve,49,3388368
São Luís,2024-06-04 06:00:00,26,chuva leve,58,3388368
São Luís,2024-06-04 09:00:00,26,algumas nuvens,22,3388368
São Luís,2024-06-04 12:00:00,27,chuva leve,28,3388368
São Luís,2024-06-04 15:00:00,28,chuva leve,9,3388368
São Luís,2024-06-04 18:00:00,28,chuva leve,11,3388368
São Luís,2024-06-04 21:00:00,26,chuva leve,2,3388368
São Luís,2024-06-05 00:00:00,26,chuva leve,16,3388368
São Luís,2024-06-05 03:00:00,26,chuva leve,21,3388368
